Pavarde     Vardas      Galutinis(Vid)
--------------------------------------
Vardas10    5.08                  5.08
Vardas100   5.64                  5.64
Vardas1000  6.24                  6.24
Vardas101   7.68                  7.68
Vardas102   7.16                  7.16
Vardas103   7.88                  7.88
Vardas105   5.36                  5.36
Vardas11    7.04                  7.04
Vardas112   7.04                  7.04
Vardas116   6.76                  6.76
Vardas119   7.32                  7.32
Vardas12    8.00                  8.00
Vardas121   6.92                  6.92
Vardas123   7.60                  7.60
Vardas124   8.68                  8.68
Vardas125   7.36                  7.36
Vardas127   5.20                  5.20
Vardas130   8.16                  8.16
Vardas131   7.56                  7.56
Vardas132   6.72                  6.72
Vardas133   5.44                  5.44
Vardas134   6.40                  6.40
Vardas137   7.28                  7.28
Vardas138   6.92                  6.92
Vardas139   5.40                  5.40
Vardas14    9.04                  9.04
Vardas140   5.28                  5.28
Vardas141   6.52                  6.52
Vardas143   5.16                  5.16
Vardas144   7.08                  7.08
Vardas146   5.32                  5.32
Vardas147   5.24                  5.24
Vardas151   7.44                  7.44
Vardas152   6.60                  6.60
Vardas153   5.40                  5.40
Vardas154   9.04                  9.04
Vardas159   6.96                  6.96
Vardas16    6.60                  6.60
Vardas160   6.72                  6.72
Vardas161   5.40                  5.40
Vardas164   5.20                  5.20
Vardas165   7.84                  7.84
Vardas166   6.44                  6.44
Vardas169   6.48                  6.48
Vardas170   5.20                  5.20
Vardas173   5.24                  5.24
Vardas174   5.52                  5.52
Vardas175   6.08                  6.08
Vardas176   5.00                  5.00
Vardas179   6.68                  6.68
Vardas182   7.16                  7.16
Vardas183   5.88                  5.88
Vardas185   7.08                  7.08
Vardas188   6.84                  6.84
Vardas189   5.76                  5.76
Vardas19    9.52                  9.52
Vardas190   5.36                  5.36
Vardas193   8.48                  8.48
Vardas194   7.88                  7.88
Vardas195   8.40                  8.40
Vardas20    9.20                  9.20
Vardas201   6.64                  6.64
Vardas202   7.24                  7.24
Vardas203   7.96                  7.96
Vardas204   5.80                  5.80
Vardas205   6.64                  6.64
Vardas206   7.84                  7.84
Vardas208   5.72                  5.72
Vardas209   6.00                  6.00
Vardas21    6.56                  6.56
Vardas211   6.20                  6.20
Vardas213   5.84                  5.84
Vardas215   5.60                  5.60
Vardas218   6.16                  6.16
Vardas219   6.56                  6.56
Vardas220   6.84                  6.84
Vardas223   8.16                  8.16
Vardas224   5.08                  5.08
Vardas225   8.24                  8.24
Vardas226   8.96                  8.96
Vardas228   5.92                  5.92
Vardas229   7.52                  7.52
Vardas23    5.64                  5.64
Vardas231   6.28                  6.28
Vardas233   7.92                  7.92
Vardas234   7.40                  7.40
Vardas238   5.68                  5.68
Vardas239   7.32                  7.32
Vardas24    6.40                  6.40
Vardas240   5.16                  5.16
Vardas243   7.04                  7.04
Vardas244   5.56                  5.56
Vardas245   5.68                  5.68
Vardas248   5.72                  5.72
Vardas249   5.36                  5.36
Vardas25    7.52                  7.52
Vardas251   6.04                  6.04
Vardas255   5.84                  5.84
Vardas256   7.32                  7.32
Vardas257   8.36                  8.36
Vardas261   5.36                  5.36
Vardas262   6.52                  6.52
Vardas265   5.28                  5.28
Vardas27    5.48                  5.48
Vardas270   7.20                  7.20
Vardas272   8.52                  8.52
Vardas273   5.64                  5.64
Vardas274   6.64                  6.64
Vardas275   6.56                  6.56
Vardas276   5.08                  5.08
Vardas278   5.76                  5.76
Vardas279   9.04                  9.04
Vardas282   6.00                  6.00
Vardas283   5.24                  5.24
Vardas284   5.20                  5.20
Vardas285   5.24                  5.24
Vardas287   8.04                  8.04
Vardas29    5.08                  5.08
Vardas292   7.36                  7.36
Vardas293   5.76                  5.76
Vardas295   7.80                  7.80
Vardas296   8.12                  8.12
Vardas300   7.32                  7.32
Vardas303   5.56                  5.56
Vardas304   7.28                  7.28
Vardas305   7.20                  7.20
Vardas306   8.60                  8.60
Vardas307   7.72                  7.72
Vardas308   7.24                  7.24
Vardas309   7.84                  7.84
Vardas311   7.52                  7.52
Vardas312   6.28                  6.28
Vardas313   6.52                  6.52
Vardas314   9.12                  9.12
Vardas316   6.48                  6.48
Vardas319   5.08                  5.08
Vardas32    8.16                  8.16
Vardas321   7.88                  7.88
Vardas322   7.12                  7.12
Vardas323   5.32                  5.32
Vardas325   7.96                  7.96
Vardas326   6.36                  6.36
Vardas327   8.16                  8.16
Vardas328   8.00                  8.00
Vardas33    5.76                  5.76
Vardas331   7.04                  7.04
Vardas333   6.08                  6.08
Vardas334   7.92                  7.92
Vardas335   5.52                  5.52
Vardas339   8.32                  8.32
Vardas344   7.52                  7.52
