Pavarde        Vardas           Galutinis(Vid)  Galutinis(Med)
Pavarde1       Vardas1                    6.40            6.60
Pavarde2       Vardas2                    7.10            7.60
Pavarde3       Vardas3                    8.70            8.60
Pavarde4       Vardas4                    6.30            6.60
Pavarde5       Vardas5                    4.60            4.40
Pavarde6       Vardas6                    5.80            6.00
Pavarde7       Vardas7                    8.20            8.40
Pavarde8       Vardas8                    4.00            4.00
Pavarde9       Vardas9                    3.40            3.40
Pavarde10      Vardas10                   3.40            3.40
Pavarde11      Vardas11                   2.60            2.60
Pavarde12      Vardas12                   3.70            3.40
Pavarde13      Vardas13                   3.30            3.20
Pavarde14      Vardas14                   4.90            4.80
Pavarde15      Vardas15                   6.10            5.80
Pavarde16      Vardas16                   7.10            7.20
Pavarde17      Vardas17                   6.60            6.40
Pavarde18      Vardas18                   2.60            2.40
Pavarde19      Vardas19                   6.60            5.80
Pavarde20      Vardas20                   4.90            4.80
Pavarde21      Vardas21                   5.50            5.60
Pavarde22      Vardas22                   3.80            3.60
Pavarde23      Vardas23                   5.40            5.80
Pavarde24      Vardas24                   7.10            7.20
Pavarde25      Vardas25                   8.00            8.00
Pavarde26      Vardas26                   7.30            7.20
Pavarde27      Vardas27                   6.80            6.20
Pavarde28      Vardas28                   2.80            3.00
Pavarde29      Vardas29                   3.90            4.00
Pavarde30      Vardas30                   3.30            3.20
Pavarde31      Vardas31                   6.10            6.40
Pavarde32      Vardas32                   9.00            9.00
Pavarde33      Vardas33                   2.10            2.20
Pavarde34      Vardas34                   4.10            4.20
Pavarde35      Vardas35                   2.60            2.60
Pavarde36      Vardas36                   5.70            5.80
Pavarde37      Vardas37                   6.30            5.80
Pavarde38      Vardas38                   7.40            6.80
Pavarde39      Vardas39                   2.80            2.80
Pavarde40      Vardas40                   6.60            6.40
Pavarde41      Vardas41                   3.70            3.60
Pavarde42      Vardas42                   6.90            6.60
Pavarde43      Vardas43                   6.80            7.00
Pavarde44      Vardas44                   4.60            4.60
Pavarde45      Vardas45                   3.60            3.80
Pavarde46      Vardas46                   4.30            4.00
Pavarde47      Vardas47                   7.50            7.60
Pavarde48      Vardas48                   3.30            3.60
Pavarde49      Vardas49                   6.30            6.60
Pavarde50      Vardas50                   4.90            5.00
Pavarde51      Vardas51                   6.20            6.20
Pavarde52      Vardas52                   7.10            7.00
Pavarde53      Vardas53                   6.90            7.00
Pavarde54      Vardas54                   8.90            9.20
Pavarde55      Vardas55                   4.40            4.40
Pavarde56      Vardas56                   6.20            6.00
Pavarde57      Vardas57                   4.70            4.80
Pavarde58      Vardas58                   8.40            8.20
Pavarde59      Vardas59                   5.80            6.20
Pavarde60      Vardas60                   6.70            6.60
Pavarde61      Vardas61                   4.60            4.60
Pavarde62      Vardas62                   5.80            6.00
Pavarde63      Vardas63                   7.30            7.80
Pavarde64      Vardas64                   4.40            4.40
Pavarde65      Vardas65                   6.70            6.40
Pavarde66      Vardas66                   5.30            5.40
Pavarde67      Vardas67                   8.20            8.40
Pavarde68      Vardas68                   3.00            3.00
Pavarde69      Vardas69                   7.20            7.20
Pavarde70      Vardas70                   8.40            8.80
Pavarde71      Vardas71                   5.80            5.80
Pavarde72      Vardas72                   5.00            4.60
Pavarde73      Vardas73                   7.40            7.40
Pavarde74      Vardas74                   6.10            6.00
Pavarde75      Vardas75                   8.20            8.60
Pavarde76      Vardas76                   6.00            6.20
Pavarde77      Vardas77                   5.10            5.40
Pavarde78      Vardas78                   3.70            3.40
Pavarde79      Vardas79                   7.80            8.00
Pavarde80      Vardas80                   5.00            5.00
Pavarde81      Vardas81                   3.80            4.00
Pavarde82      Vardas82                   8.80            8.80
Pavarde83      Vardas83                   2.40            2.20
Pavarde84      Vardas84                   8.50            8.40
Pavarde85      Vardas85                   5.20            5.20
Pavarde86      Vardas86                   6.70            6.60
Pavarde87      Vardas87                   4.90            5.00
Pavarde88      Vardas88                   7.20            7.40
Pavarde89      Vardas89                   6.20            6.00
Pavarde90      Vardas90                   3.50            4.00
Pavarde91      Vardas91                   7.20            7.00
Pavarde92      Vardas92                   7.60            7.60
Pavarde93      Vardas93                   4.10            4.40
Pavarde94      Vardas94                   5.40            5.40
Pavarde95      Vardas95                   5.40            5.40
Pavarde96      Vardas96                   6.00            5.80
Pavarde97      Vardas97                   5.50            5.60
Pavarde98      Vardas98                   5.10            5.40
Pavarde99      Vardas99                   6.30            6.60
Pavarde100     Vardas100                  2.70            2.40
Pavarde101     Vardas101                  7.00            7.20
Pavarde102     Vardas102                  5.60            5.00
Pavarde103     Vardas103                  6.00            5.80
Pavarde104     Vardas104                  8.40            8.40
Pavarde105     Vardas105                  4.50            4.80
Pavarde106     Vardas106                  5.20            5.40
Pavarde107     Vardas107                  3.70            3.60
Pavarde108     Vardas108                  9.20            9.40
Pavarde109     Vardas109                  2.70            2.40
Pavarde110     Vardas110                  6.10            5.80
Pavarde111     Vardas111                  7.30            7.40
Pavarde112     Vardas112                  7.60            7.60
Pavarde113     Vardas113                  3.70            3.40
Pavarde114     Vardas114                  6.90            6.80
Pavarde115     Vardas115                  2.50            2.60
Pavarde116     Vardas116                  5.40            5.80
Pavarde117     Vardas117                  7.60            8.20
Pavarde118     Vardas118                  8.70            8.80
Pavarde119     Vardas119                  8.80            9.20
Pavarde120     Vardas120                  5.20            5.20
Pavarde121     Vardas121                  7.30            7.20
Pavarde122     Vardas122                  7.70            7.40
Pavarde123     Vardas123                  7.90            8.40
Pavarde124     Vardas124                  6.20            6.40
Pavarde125     Vardas125                  3.60            3.80
Pavarde126     Vardas126                  3.50            3.40
Pavarde127     Vardas127                  3.10            2.40
Pavarde128     Vardas128                  7.50            7.60
Pavarde129     Vardas129                  5.50            6.00
Pavarde130     Vardas130                  6.00            6.20
Pavarde131     Vardas131                  6.60            7.00
Pavarde132     Vardas132                  4.20            4.20
Pavarde133     Vardas133                  6.50            6.80
Pavarde134     Vardas134                  8.40            8.20
