Pavarde     Vardas      Galutinis(Vid)
--------------------------------------
Vardas1     4.00                  4.00
Vardas104   2.56                  2.56
Vardas106   2.88                  2.88
Vardas107   3.48                  3.48
Vardas108   4.88                  4.88
Vardas109   2.48                  2.48
Vardas110   3.92                  3.92
Vardas111   3.72                  3.72
Vardas113   3.76                  3.76
Vardas114   3.00                  3.00
Vardas115   2.80                  2.80
Vardas117   2.88                  2.88
Vardas118   4.96                  4.96
Vardas120   4.60                  4.60
Vardas122   4.52                  4.52
Vardas126   3.56                  3.56
Vardas128   4.96                  4.96
Vardas129   3.40                  3.40
Vardas13    4.92                  4.92
Vardas135   3.36                  3.36
Vardas136   3.40                  3.40
Vardas142   4.24                  4.24
Vardas145   4.00                  4.00
Vardas148   2.84                  2.84
Vardas149   4.88                  4.88
Vardas15    4.88                  4.88
Vardas150   4.52                  4.52
Vardas155   3.08                  3.08
Vardas156   3.24                  3.24
Vardas157   3.88                  3.88
Vardas158   2.48                  2.48
Vardas162   4.16                  4.16
Vardas163   3.48                  3.48
Vardas167   2.76                  2.76
Vardas168   2.60                  2.60
Vardas17    3.36                  3.36
Vardas171   4.36                  4.36
Vardas172   3.76                  3.76
Vardas177   2.52                  2.52
Vardas178   3.28                  3.28
Vardas18    3.28                  3.28
Vardas180   3.40                  3.40
Vardas181   3.92                  3.92
Vardas184   3.48                  3.48
Vardas186   4.08                  4.08
Vardas187   4.08                  4.08
Vardas191   3.96                  3.96
Vardas192   4.80                  4.80
Vardas196   3.24                  3.24
Vardas197   4.80                  4.80
Vardas198   3.64                  3.64
Vardas199   3.20                  3.20
Vardas2     4.16                  4.16
Vardas200   3.72                  3.72
Vardas207   2.76                  2.76
Vardas210   2.76                  2.76
Vardas212   2.20                  2.20
Vardas214   1.96                  1.96
Vardas216   4.56                  4.56
Vardas217   4.72                  4.72
Vardas22    3.84                  3.84
Vardas221   3.36                  3.36
Vardas222   4.08                  4.08
Vardas227   3.44                  3.44
Vardas230   3.84                  3.84
Vardas232   3.76                  3.76
Vardas235   4.84                  4.84
Vardas236   3.32                  3.32
Vardas237   2.28                  2.28
Vardas241   4.60                  4.60
Vardas242   4.60                  4.60
Vardas246   2.96                  2.96
Vardas247   4.60                  4.60
Vardas250   3.44                  3.44
Vardas252   3.08                  3.08
Vardas253   2.04                  2.04
Vardas254   3.36                  3.36
Vardas258   2.68                  2.68
Vardas259   3.52                  3.52
Vardas26    2.28                  2.28
Vardas260   2.92                  2.92
Vardas263   2.92                  2.92
Vardas264   4.96                  4.96
Vardas266   3.72                  3.72
Vardas267   4.44                  4.44
Vardas268   3.24                  3.24
Vardas269   3.56                  3.56
Vardas271   3.56                  3.56
Vardas277   3.24                  3.24
Vardas28    2.76                  2.76
Vardas280   2.92                  2.92
Vardas281   4.28                  4.28
Vardas286   2.36                  2.36
Vardas288   4.84                  4.84
Vardas289   4.00                  4.00
Vardas290   3.84                  3.84
Vardas291   3.96                  3.96
Vardas294   4.16                  4.16
Vardas297   3.84                  3.84
Vardas298   3.60                  3.60
Vardas299   4.32                  4.32
Vardas3     3.16                  3.16
Vardas30    4.32                  4.32
Vardas301   3.92                  3.92
Vardas302   4.24                  4.24
Vardas31    4.04                  4.04
Vardas310   4.28                  4.28
Vardas315   3.40                  3.40
Vardas317   2.44                  2.44
Vardas318   2.20                  2.20
Vardas320   4.00                  4.00
Vardas324   3.52                  3.52
Vardas329   2.12                  2.12
Vardas330   2.20                  2.20
Vardas332   2.20                  2.20
Vardas336   4.52                  4.52
Vardas337   3.84                  3.84
Vardas338   4.08                  4.08
Vardas34    3.64                  3.64
Vardas340   4.60                  4.60
Vardas341   2.92                  2.92
Vardas342   4.56                  4.56
Vardas343   2.60                  2.60
Vardas349   2.80                  2.80
Vardas351   3.16                  3.16
Vardas354   4.60                  4.60
Vardas356   4.16                  4.16
Vardas361   3.52                  3.52
Vardas364   3.32                  3.32
Vardas366   4.52                  4.52
